Amp: Atomistic Machine-learning Package
Developed by Andrew Peterson, Alireza Khorshidi, and others,
Brown University.
 PI Website: http://brown.edu/go/catalyst
 Official repository: http://bitbucket.org/andrewpeterson/amp
 Official documentation: http://amp.readthedocs.org/
======================================================================
User: jboes
Hostname: gilgamesh.cheme.cmu.edu
Date: 2016-06-27T16:00:34
Architecture: x86_64
PID: 5620
Version: 0.4
Python: v2.7.6: /opt/kitchingroup/CANOPY/Canopy_64bit/User/bin/python
Amp: /home-research/jboes/python/amp
ASE v3.11.0: /home-research/jboes/python/ase/ase
NumPy v1.8.1: /opt/kitchingroup/CANOPY/Canopy_64bit/User/lib/python2.7/site-packages/numpy
SciPy v0.14.0: /opt/kitchingroup/CANOPY/Canopy_64bit/User/lib/python2.7/site-packages/scipy
======================================================================
Amp training started. 2016-06-27T16:00:34

Local environment descriptor: Gaussian
Regression: NeuralNetwork

Parallel processing over 1 cores.

Training on 49 images.
Hashing images...
 49 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: Pd
Symmetry functions for each element:
 Pd: 8
Hidden-layer structure:
 Pd: [2, 3]
Initial weights already present.
Initial scalings already present.
Calculating atomic fingerprints...
 Saved fingerprints file networks/fingerprints.db loaded with 49 entries. 0.0 min.
 Calculating 0 of 49 fingerprints (49 exist in file).
 ...all fingerprint operations complete. 0.0 min.
Updated fingerprints range from saved version; this is a temporary bug fix. With this the first iteration of the training neural network will *not* give identical results to the saved version if the fingerprints_range has changed.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file networks/db0/3-3/initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 No force training.
Step              Time               Cost     RMS (Energy
                                    Function    per Atom)
                                                 Error
=====  ==========================  =========  ==========
   76        2016-06-27T16:00:37  9.100e-04    4.309e-03
   77        2016-06-27T16:00:37  8.937e-04    4.271e-03
   78        2016-06-27T16:00:37  8.682e-04    4.209e-03
   79        2016-06-27T16:00:38  8.305e-04    4.117e-03
   80        2016-06-27T16:00:38  1.184e-03    4.915e-03
   81        2016-06-27T16:00:38  8.212e-04    4.094e-03
   82        2016-06-27T16:00:38  8.043e-04    4.051e-03
   83        2016-06-27T16:00:38  7.747e-04    3.976e-03
   84        2016-06-27T16:00:38  7.306e-04    3.861e-03
   85        2016-06-27T16:00:38  7.191e-04    3.831e-03
   86        2016-06-27T16:00:38  6.984e-04    3.775e-03
   87        2016-06-27T16:00:38  6.639e-04    3.681e-03
   88        2016-06-27T16:00:38  6.648e-04    3.684e-03
   89        2016-06-27T16:00:38  6.422e-04    3.620e-03
   90        2016-06-27T16:00:38  6.162e-04    3.546e-03
   91        2016-06-27T16:00:38  5.822e-04    3.447e-03
   92        2016-06-27T16:00:38  5.423e-04    3.327e-03
   93        2016-06-27T16:00:38  5.081e-04    3.220e-03
   94        2016-06-27T16:00:38  4.568e-04    3.053e-03
   95        2016-06-27T16:00:38  4.394e-04    2.994e-03
   96        2016-06-27T16:00:38  4.226e-04    2.937e-03
   97        2016-06-27T16:00:38  3.851e-04    2.803e-03
   98        2016-06-27T16:00:38  6.119e-04    3.534e-03
   99        2016-06-27T16:00:39  3.769e-04    2.774e-03
Saving checkpoint data.
  100        2016-06-27T16:00:39  3.624e-04    2.720e-03
  101        2016-06-27T16:00:39  3.394e-04    2.632e-03
  102        2016-06-27T16:00:39  3.148e-04    2.535e-03
  103        2016-06-27T16:00:39  3.053e-04    2.496e-03
  104        2016-06-27T16:00:39  2.925e-04    2.443e-03
  105        2016-06-27T16:00:39  2.850e-04    2.412e-03
  106        2016-06-27T16:00:39  2.819e-04    2.399e-03
  107        2016-06-27T16:00:39  2.797e-04    2.389e-03
  108        2016-06-27T16:00:39  2.777e-04    2.380e-03
  109        2016-06-27T16:00:39  2.761e-04    2.374e-03
  110        2016-06-27T16:00:39  2.749e-04    2.369e-03
  111        2016-06-27T16:00:39  2.727e-04    2.359e-03
  112        2016-06-27T16:00:39  2.686e-04    2.341e-03
  113        2016-06-27T16:00:39  2.612e-04    2.309e-03
  114        2016-06-27T16:00:39  2.498e-04    2.258e-03
  115        2016-06-27T16:00:39  2.341e-04    2.186e-03
  116        2016-06-27T16:00:39  2.288e-04    2.161e-03
  117        2016-06-27T16:00:39  2.185e-04    2.112e-03
  118        2016-06-27T16:00:39  2.082e-04    2.061e-03
  119        2016-06-27T16:00:39  2.056e-04    2.048e-03
  120        2016-06-27T16:00:40  2.014e-04    2.027e-03
  121        2016-06-27T16:00:40  1.961e-04    2.001e-03
  122        2016-06-27T16:00:40  1.935e-04    1.987e-03
  123        2016-06-27T16:00:40  1.897e-04    1.967e-03
  124        2016-06-27T16:00:40  1.861e-04    1.949e-03
  125        2016-06-27T16:00:40  1.820e-04    1.927e-03
  126        2016-06-27T16:00:40  1.760e-04    1.895e-03
  127        2016-06-27T16:00:40  1.671e-04    1.847e-03
  128        2016-06-27T16:00:40  1.606e-04    1.810e-03
  129        2016-06-27T16:00:40  1.555e-04    1.781e-03
  130        2016-06-27T16:00:40  1.497e-04    1.748e-03
  131        2016-06-27T16:00:40  1.549e-04    1.778e-03
  132        2016-06-27T16:00:40  1.474e-04    1.734e-03
  133        2016-06-27T16:00:40  1.438e-04    1.713e-03
  134        2016-06-27T16:00:40  1.381e-04    1.679e-03
  135        2016-06-27T16:00:40  1.312e-04    1.636e-03
  136        2016-06-27T16:00:40  1.260e-04    1.603e-03
  137        2016-06-27T16:00:40  1.227e-04    1.582e-03
  138        2016-06-27T16:00:40  1.218e-04    1.577e-03
  139        2016-06-27T16:00:40  1.207e-04    1.570e-03
  140        2016-06-27T16:00:40  1.191e-04    1.559e-03
  141        2016-06-27T16:00:41  1.165e-04    1.542e-03
  142        2016-06-27T16:00:41  1.152e-04    1.533e-03
  143        2016-06-27T16:00:41  1.135e-04    1.522e-03
  144        2016-06-27T16:00:41  1.125e-04    1.515e-03
  145        2016-06-27T16:00:41  1.109e-04    1.505e-03
  146        2016-06-27T16:00:41  1.105e-04    1.502e-03
  147        2016-06-27T16:00:41  1.102e-04    1.500e-03
  148        2016-06-27T16:00:41  1.094e-04    1.494e-03
  149        2016-06-27T16:00:41  1.085e-04    1.488e-03
  150        2016-06-27T16:00:41  1.073e-04    1.480e-03
  151        2016-06-27T16:00:41  1.071e-04    1.479e-03
  152        2016-06-27T16:00:41  1.068e-04    1.476e-03
