 Step                 Time   Function       RMSE       RMSE
=====  ===================  =========  =========  =========
   51  2015-11-18T15:59:10  1.128e-01  3.541e-02  0.000e+00
   52  2015-11-18T15:59:10  9.573e-02  3.261e-02  0.000e+00
   53  2015-11-18T15:59:10  1.013e-01  3.355e-02  0.000e+00
   54  2015-11-18T15:59:10  8.836e-02  3.133e-02  0.000e+00
   55  2015-11-18T15:59:10  7.823e-02  2.948e-02  0.000e+00
   56  2015-11-18T15:59:10  7.351e-02  2.858e-02  0.000e+00
   57  2015-11-18T15:59:10  6.749e-02  2.738e-02  0.000e+00
   58  2015-11-18T15:59:10  6.569e-02  2.702e-02  0.000e+00
   59  2015-11-18T15:59:10  6.369e-02  2.660e-02  0.000e+00
   60  2015-11-18T15:59:10  6.127e-02  2.609e-02  0.000e+00
   61  2015-11-18T15:59:10  5.712e-02  2.519e-02  0.000e+00
   62  2015-11-18T15:59:10  5.154e-02  2.393e-02  0.000e+00
   63  2015-11-18T15:59:10  4.753e-02  2.298e-02  0.000e+00
   64  2015-11-18T15:59:10  4.416e-02  2.215e-02  0.000e+00
   65  2015-11-18T15:59:10  4.178e-02  2.155e-02  0.000e+00
   66  2015-11-18T15:59:10  4.146e-02  2.146e-02  0.000e+00
   67  2015-11-18T15:59:10  4.037e-02  2.118e-02  0.000e+00
   68  2015-11-18T15:59:10  3.953e-02  2.096e-02  0.000e+00
   69  2015-11-18T15:59:10  3.837e-02  2.065e-02  0.000e+00
   70  2015-11-18T15:59:10  3.658e-02  2.016e-02  0.000e+00
   71  2015-11-18T15:59:10  3.422e-02  1.950e-02  0.000e+00
   72  2015-11-18T15:59:10  3.229e-02  1.894e-02  0.000e+00
   73  2015-11-18T15:59:10  4.371e-02  2.204e-02  0.000e+00
   74  2015-11-18T15:59:11  3.175e-02  1.878e-02  0.000e+00
   75  2015-11-18T15:59:11  3.092e-02  1.854e-02  0.000e+00
   76  2015-11-18T15:59:11  2.995e-02  1.824e-02  0.000e+00
   77  2015-11-18T15:59:11  2.943e-02  1.808e-02  0.000e+00
   78  2015-11-18T15:59:11  2.882e-02  1.790e-02  0.000e+00
   79  2015-11-18T15:59:11  2.923e-02  1.802e-02  0.000e+00
   80  2015-11-18T15:59:11  2.849e-02  1.779e-02  0.000e+00
   81  2015-11-18T15:59:11  2.802e-02  1.765e-02  0.000e+00
   82  2015-11-18T15:59:11  2.734e-02  1.743e-02  0.000e+00
   83  2015-11-18T15:59:11  2.627e-02  1.709e-02  0.000e+00
   84  2015-11-18T15:59:11  2.834e-02  1.775e-02  0.000e+00
   85  2015-11-18T15:59:11  2.578e-02  1.692e-02  0.000e+00
   86  2015-11-18T15:59:11  2.494e-02  1.665e-02  0.000e+00
   87  2015-11-18T15:59:11  2.362e-02  1.620e-02  0.000e+00
   88  2015-11-18T15:59:11  2.183e-02  1.557e-02  0.000e+00
   89  2015-11-18T15:59:11  1.987e-02  1.486e-02  0.000e+00
   90  2015-11-18T15:59:11  2.057e-02  1.512e-02  0.000e+00
   91  2015-11-18T15:59:11  1.869e-02  1.441e-02  0.000e+00
   92  2015-11-18T15:59:11  1.809e-02  1.418e-02  0.000e+00
   93  2015-11-18T15:59:11  1.741e-02  1.391e-02  0.000e+00
   94  2015-11-18T15:59:11  1.697e-02  1.373e-02  0.000e+00
   95  2015-11-18T15:59:11  1.663e-02  1.359e-02  0.000e+00
   96  2015-11-18T15:59:11  1.619e-02  1.341e-02  0.000e+00
   97  2015-11-18T15:59:11  1.561e-02  1.317e-02  0.000e+00
   98  2015-11-18T15:59:11  1.497e-02  1.290e-02  0.000e+00
   99  2015-11-18T15:59:11  1.464e-02  1.276e-02  0.000e+00
Saving checkpoint data.
  100  2015-11-18T15:59:11  1.448e-02  1.268e-02  0.000e+00
  101  2015-11-18T15:59:11  1.420e-02  1.256e-02  0.000e+00
  102  2015-11-18T15:59:11  1.369e-02  1.233e-02  0.000e+00
  103  2015-11-18T15:59:11  1.281e-02  1.193e-02  0.000e+00
  104  2015-11-18T15:59:11  1.165e-02  1.138e-02  0.000e+00
  105  2015-11-18T15:59:11  1.126e-02  1.119e-02  0.000e+00
  106  2015-11-18T15:59:11  1.065e-02  1.088e-02  0.000e+00
  107  2015-11-18T15:59:11  1.009e-02  1.059e-02  0.000e+00
  108  2015-11-18T15:59:11  9.849e-03  1.046e-02  0.000e+00
  109  2015-11-18T15:59:11  9.497e-03  1.027e-02  0.000e+00
  110  2015-11-18T15:59:12  9.162e-03  1.009e-02  0.000e+00
  111  2015-11-18T15:59:12  8.863e-03  9.924e-03  0.000e+00
  112  2015-11-18T15:59:12  8.759e-03  9.865e-03  0.000e+00
  113  2015-11-18T15:59:12  8.697e-03  9.830e-03  0.000e+00
  114  2015-11-18T15:59:12  8.615e-03  9.784e-03  0.000e+00
  115  2015-11-18T15:59:12  8.478e-03  9.705e-03  0.000e+00
  116  2015-11-18T15:59:12  8.296e-03  9.601e-03  0.000e+00
  117  2015-11-18T15:59:12  8.214e-03  9.554e-03  0.000e+00
  118  2015-11-18T15:59:12  8.135e-03  9.507e-03  0.000e+00
  119  2015-11-18T15:59:12  8.012e-03  9.435e-03  0.000e+00
  120  2015-11-18T15:59:12  7.796e-03  9.307e-03  0.000e+00
  121  2015-11-18T15:59:12  7.401e-03  9.068e-03  0.000e+00
  122  2015-11-18T15:59:12  6.692e-03  8.623e-03  0.000e+00
  123  2015-11-18T15:59:12  6.021e-03  8.179e-03  0.000e+00
  124  2015-11-18T15:59:12  5.702e-03  7.959e-03  0.000e+00
  125  2015-11-18T15:59:12  5.521e-03  7.832e-03  0.000e+00
  126  2015-11-18T15:59:12  5.269e-03  7.651e-03  0.000e+00
  127  2015-11-18T15:59:12  5.062e-03  7.499e-03  0.000e+00
  128  2015-11-18T15:59:12  4.827e-03  7.323e-03  0.000e+00
  129  2015-11-18T15:59:12  4.545e-03  7.106e-03  0.000e+00
  130  2015-11-18T15:59:12  4.333e-03  6.938e-03  0.000e+00
  131  2015-11-18T15:59:12  4.281e-03  6.897e-03  0.000e+00
  132  2015-11-18T15:59:12  4.265e-03  6.884e-03  0.000e+00
  133  2015-11-18T15:59:12  4.261e-03  6.881e-03  0.000e+00
  134  2015-11-18T15:59:12  4.255e-03  6.876e-03  0.000e+00
  135  2015-11-18T15:59:12  4.243e-03  6.867e-03  0.000e+00
  136  2015-11-18T15:59:12  4.221e-03  6.849e-03  0.000e+00
  137  2015-11-18T15:59:12  4.182e-03  6.816e-03  0.000e+00
  138  2015-11-18T15:59:12  4.121e-03  6.767e-03  0.000e+00
  139  2015-11-18T15:59:12  4.081e-03  6.734e-03  0.000e+00
  140  2015-11-18T15:59:12  4.049e-03  6.707e-03  0.000e+00
  141  2015-11-18T15:59:12  3.995e-03  6.663e-03  0.000e+00
  142  2015-11-18T15:59:12  3.922e-03  6.602e-03  0.000e+00
  143  2015-11-18T15:59:12  3.867e-03  6.555e-03  0.000e+00
  144  2015-11-18T15:59:12  3.781e-03  6.482e-03  0.000e+00
  145  2015-11-18T15:59:12  3.657e-03  6.374e-03  0.000e+00
  146  2015-11-18T15:59:12  3.473e-03  6.212e-03  0.000e+00
  147  2015-11-18T15:59:12  3.327e-03  6.080e-03  0.000e+00
  148  2015-11-18T15:59:13  3.307e-03  6.062e-03  0.000e+00
  149  2015-11-18T15:59:13  3.270e-03  6.027e-03  0.000e+00
  150  2015-11-18T15:59:13  3.205e-03  5.968e-03  0.000e+00
  151  2015-11-18T15:59:13  3.145e-03  5.912e-03  0.000e+00
  152  2015-11-18T15:59:13  3.097e-03  5.866e-03  0.000e+00
  153  2015-11-18T15:59:13  3.045e-03  5.817e-03  0.000e+00
  154  2015-11-18T15:59:13  2.978e-03  5.752e-03  0.000e+00
  155  2015-11-18T15:59:13  2.927e-03  5.702e-03  0.000e+00
  156  2015-11-18T15:59:13  2.861e-03  5.639e-03  0.000e+00
  157  2015-11-18T15:59:13  2.853e-03  5.630e-03  0.000e+00
  158  2015-11-18T15:59:13  2.835e-03  5.613e-03  0.000e+00
  159  2015-11-18T15:59:13  2.780e-03  5.558e-03  0.000e+00
  160  2015-11-18T15:59:13  2.802e-03  5.580e-03  0.000e+00
  161  2015-11-18T15:59:13  2.739e-03  5.516e-03  0.000e+00
  162  2015-11-18T15:59:13  2.718e-03  5.495e-03  0.000e+00
  163  2015-11-18T15:59:13  2.685e-03  5.462e-03  0.000e+00
  164  2015-11-18T15:59:13  2.636e-03  5.412e-03  0.000e+00
  165  2015-11-18T15:59:13  2.568e-03  5.341e-03  0.000e+00
  166  2015-11-18T15:59:13  2.461e-03  5.229e-03  0.000e+00
  167  2015-11-18T15:59:13  3.489e-03  6.226e-03  0.000e+00
  168  2015-11-18T15:59:13  2.435e-03  5.202e-03  0.000e+00
  169  2015-11-18T15:59:13  2.391e-03  5.154e-03  0.000e+00
  170  2015-11-18T15:59:13  2.320e-03  5.078e-03  0.000e+00
  171  2015-11-18T15:59:13  2.232e-03  4.980e-03  0.000e+00
  172  2015-11-18T15:59:13  2.391e-03  5.154e-03  0.000e+00
  173  2015-11-18T15:59:13  2.200e-03  4.944e-03  0.000e+00
  174  2015-11-18T15:59:13  2.158e-03  4.897e-03  0.000e+00
  175  2015-11-18T15:59:13  2.122e-03  4.856e-03  0.000e+00
  176  2015-11-18T15:59:13  2.094e-03  4.824e-03  0.000e+00
  177  2015-11-18T15:59:13  2.080e-03  4.807e-03  0.000e+00
  178  2015-11-18T15:59:13  2.065e-03  4.791e-03  0.000e+00
  179  2015-11-18T15:59:13  2.056e-03  4.780e-03  0.000e+00
  180  2015-11-18T15:59:13  2.042e-03  4.763e-03  0.000e+00
  181  2015-11-18T15:59:13  2.028e-03  4.747e-03  0.000e+00
  182  2015-11-18T15:59:13  2.022e-03  4.740e-03  0.000e+00
  183  2015-11-18T15:59:13  2.014e-03  4.730e-03  0.000e+00
  184  2015-11-18T15:59:14  2.004e-03  4.718e-03  0.000e+00
  185  2015-11-18T15:59:14  1.995e-03  4.708e-03  0.000e+00
  186  2015-11-18T15:59:14  1.986e-03  4.697e-03  0.000e+00
  187  2015-11-18T15:59:14  1.978e-03  4.688e-03  0.000e+00
  188  2015-11-18T15:59:14  1.971e-03  4.680e-03  0.000e+00
  189  2015-11-18T15:59:14  1.967e-03  4.675e-03  0.000e+00
  190  2015-11-18T15:59:14  1.963e-03  4.670e-03  0.000e+00
  191  2015-11-18T15:59:14  1.955e-03  4.660e-03  0.000e+00
  192  2015-11-18T15:59:14  1.940e-03  4.643e-03  0.000e+00
  193  2015-11-18T15:59:14  1.913e-03  4.610e-03  0.000e+00
  194  2015-11-18T15:59:14  1.865e-03  4.552e-03  0.000e+00
  195  2015-11-18T15:59:14  1.788e-03  4.457e-03  0.000e+00
  196  2015-11-18T15:59:14  1.711e-03  4.360e-03  0.000e+00
  197  2015-11-18T15:59:14  1.724e-03  4.376e-03  0.000e+00
  198  2015-11-18T15:59:14  1.688e-03  4.331e-03  0.000e+00
  199  2015-11-18T15:59:14  1.651e-03  4.283e-03  0.000e+00
Saving checkpoint data.
  200  2015-11-18T15:59:14  1.618e-03  4.240e-03  0.000e+00
  201  2015-11-18T15:59:14  1.614e-03  4.235e-03  0.000e+00
  202  2015-11-18T15:59:14  1.610e-03  4.229e-03  0.000e+00
  203  2015-11-18T15:59:14  1.603e-03  4.221e-03  0.000e+00
  204  2015-11-18T15:59:14  1.595e-03  4.210e-03  0.000e+00
  205  2015-11-18T15:59:14  1.590e-03  4.203e-03  0.000e+00
  206  2015-11-18T15:59:14  1.588e-03  4.201e-03  0.000e+00
  207  2015-11-18T15:59:14  1.586e-03  4.198e-03  0.000e+00
